Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Cursos - Ano/Serie - Prioridade,Cursos - Prioridade - Vagas,Docentes,dia,hora,Horários,status
MAT005915-MATEMÁT.,Resolução de Problemas na Educação Básica - optativa,60.0,DM,4,1,L,1421B - 9/ - Optativa - Integral 1421L - 9/ - Optativa - Integral 1419L - Equivalente 1419B - Equivalente 1415L - Equivalente ,1421B - / 1421L - / 1419L - / 1419B - / 1415L - / ,Roger Miarka,qui;sex,16-18;16-18,Sexta: 16:00-18:00 Quinta: 16:00-18:00
MAT003415-MATEMÁT.,Teoria da Medida e Integração,60.0,DM,4,1,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/1 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,Jamil Viana Pereira,ter;sex,16-18;14-16,Terça: 16:00-18:00  Sexta: 14:00-16:00
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,4,1,L,1415B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral ,1415B - / 1421B - / 1415L - / 1419C - / 1421L - / ,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,seg;qui,10-12;14-16,Quinta: 14:00-16:00 Segunda: 10:00-12:00
PROGRADMAT-MATEMÁT.,"Libras, Educação Especial e Inclusiva",60.0,PROGRAD,1,1,C,1415CO - / 1419L - / 1421L - / ,1415CO - 1/1 - Obrigatória - Integral 1419L - 4/2 - Obrigatória - Integral 1421L - 4/2 - Obrigatória - Integral ,,sab,14-18,Sábado: 14:00-18:00
#EMA979615-COMP.INT.,???? Cálculo Numérico,60.0,EMA,1,2,B,0823B - I - 1/2 - Obrigatória - Integral 0820B - I - Equivalente 0823B - N - Equivalente 0820B - N - Equivalente 0897BA - I - Equivalente 0898BA - N - Equivalente 1015C - Equivalente 1019C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1421C - Equivalente ,0823B - I - / 0820B - I - / 0823B - N - /3 0820B - N - /3 0897BA - I - / 0898BA - N - /3 1015C - /5 1019C - /5 1419C - /5 1415CO - /5 1421C - /5 ,Nelson Callegari Júnior,seg,8-12,Segunda: 08:00-12:00 (GVS3)
MAT008615-MATEMÁT.,Cálculo Diferencial e Integral II,90.0,DM,1,2,C,1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 0820B - I - Equivalente 0820B - N - Equivalente ,1415CO - / 1423C - / 1421C - / 1419C - / 0820B - I - /5 0820B - N - /5 ,Renata Zotin Gomes de Oliveira,seg;qua;sex,8-10;8-10;8-10,Quarta: 08:00-10:00 (GIIIS5) Sexta: 08:00-10:00 (GIIIS5) Segunda: 08:00-10:00 (GIIIS5)
MAT009115-MATEMÁT.,Educação Financeira numa perspectiva crítica,60.0,DM,1,2,C,1419C - Equivalente 1421C - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1419C - / 1421C - / 1423C - / ,Lucas Carato Mazzi,seg;qua,14-16;10-12,Segunda: 14:00-16:00 (GIVS4) Quarta: 10:00-12:00 (GIIIS5)
FSI226615-MATEMÁT.,Física Geral I,60.0,FSI,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,,ter;sex,8-10;10-12,Terça: 08:00-10:00 (GIIIS5) Sexta: 10:00-12:00 (GIIIS5)
MAT008815-MATEMÁT.,Geometria Analítica Espacial,60.0,DM,1,2,C,1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1419C - / 1415CO - / 1423C - / ,Heloisa da Silva,seg;qui,10-12;8-10,Segunda: 10:00-12:00 (GIIIS5) Quinta: 08:00-10:00 (GIIIS5)
MAT009215-MATEMÁT.,Geometria Euclidiana Plana,60.0,DM,1,2,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Rúbia Barcelos Amaral Schio,ter;qui,10-12;10-12,Terça: 10:00-12:00 (GIIIS5) Quinta: 10:00-12:00
EMA980215-MATEMÁT.,Introdução à Ciência da Computação,60.0,EMA,1,2,C,1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1423C - 1/2 - Obrigatória - Integral ,1421C - / 1419C - / 1415CO - / 1423C - / ,Marcos Tadeu dos Santos,sex,14-18,Sexta: 14:00-18:00 (GIIIS5)
MAT012315-MATEMÁT.,Álgebra Linear II,60.0,DM,2,2,B,1415B - Equivalente 1419B - Equivalente 1421B - Equivalente 1423B - 2/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / 1423B - / ,Marta Cilene Gadotti,seg;sex,10-12;16-18,Sexta: 16:00-18:00 Segunda: 10:00-12:00
MAT011015-MATEMÁT.,Cálculo Diferencial e Integral IV,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Jamil Viana Pereira,seg;qua,14-16;14-16,Segunda: 14:00-16:00 Quarta: 14:00-16:00
EMA986515-MATEMÁT.,Cálculo Numérico,60.0,EMA,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,Maria Helena Moreira Morais,qui;sex,16-18;14-16,Quinta: 16:00-18:00 Sexta: 14:00-16:00
MAT011115-MATEMÁT.,Desenho Geométrico e Geometria Descritiva,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Rúbia Barcelos Amaral Schio,qua;qui,10-12;14-16,Quarta: 10:00-12:00 Quinta: 14:00-16:00
MAT011215-MATEMÁT.,Estruturas Algébricas II,60.0,DM,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente ,1423C - / 1421C - / 1419C - / 1415CO - / ,Sara Díaz Cardell,seg;qua,16-18;16-18,Segunda: 16:00-18:00 Quarta: 16:00-18:00
FSI228815-MATEMÁT.,Física Geral III,60.0,FSI,2,2,C,1423C - 2/2 - Obrigatória - Integral 1421C - Equivalente 1415CO - Equivalente 1419C - Equivalente ,1423C - / 1421C - / 1415CO - / 1419C - / ,,ter;qui,10-12;10-12,Quinta: 10:00-12:00 Terça: 10:00-12:00
EDO212815-MATEMÁT.,Política Educacional Brasileira,60.0,EDO,2,2,L,1423L - 2/2 - Obrigatória - Integral 1421L - Equivalente 1419L - Equivalente 1415L - Equivalente ,1423L - / 1421L - / 1419L - / 1415L - / ,Raquel Fontes Borghi,ter,14-18,Terça: 14:00-18:00
MAT003115-MATEMÁT.,Análise Matemática II,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Jamil Viana Pereira,seg;sex,8-10;16-18,Segunda: 08:00-10:00 (GIIIS2) Sexta: 16:00-18:00 (GIIIS2)
EDO204615-MATEMÁT.,Didática II,60.0,EDO,3,2,L,1419L - 3/2 - Obrigatória - Integral 1415L - Equivalente 1421L - 3/2 - Obrigatória - Integral ,1419L - / 1415L - / 1421L - / ,Maria Antonia Ramos de Azevedo,ter,14-18,Terça: 14:00-18:00 (GIIIS5)
MAT002115-MATEMÁT.,Equações Diferenciais Ordinárias,60.0,DM,3,2,C,1421C - 3/2 - Obrigatória - Integral 1415CO - Equivalente 1419C - Equivalente ,1421C - / 1415CO - / 1419C - / ,Marta Cilene Gadotti,seg;qui,10-12;8-10,Quinta: 08:00-10:00 (GVS3) Segunda: 10:00-12:00 (GIIIS2)
MAT003215-MATEMÁT.,Espaços Topológicos,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Thiago de Melo,qua;sex,8-10;8-10,Quarta: 08:00-10:00 (GIIIS2) Sexta: 08:00-10:00 (GIIIS2)
EMA965815-MATEMÁT.,Estatística,60.0,EMA,3,2,C,1419C - 3/2 - Obrigatória - Integral 1415CO - 3/2 - Obrigatória - Integral 1421C - 3/2 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,Selene Maria Coelho Loibel,qui;sex,10-12;14-16,Quinta: 10:00-12:00 Sexta: 14:00-16:00 (GIIIS2)
MAT003015-MATEMÁT.,Geometria Diferencial,60.0,DM,3,2,B,1415B - Equivalente 1419B - Equivalente 1421B - 3/2 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Marcelo José Saia,ter;sex,8-10;10-12,Sexta: 10:00-12:00 (GIIIS2) Terça: 08:00-10:00 (GIIIS2)
MAT002015-MATEMÁT.,Matemática da Educação Básica,60.0,DM,3,2,L,1415L - Equivalente 1419L - Equivalente 1421L - 3/2 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Heloisa da Silva,ter,8-12,Terça: 08:00-12:00
