Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Docentes,dia,hora,status
EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,,seg,18-19,
EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,,ter,8-10,
EDO203115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado IV,105.0,EDO,4,2,L,,ter,14-18,new
EDO204815-MATEMÁT.,Psicologia da Aprendizagem,60.0,EDO,3,2,L,Cesar Donizeti Pereira Leite,qua,8-12,
EDO204715-MATEMÁT.,Psicologia do Desenvolvimento,60.0,EDO,3,1,L,Sueli de Fátima Caetano Coppi,ter,14-18,
EMA986515-MATEMÁT.,Cálculo Numérico,60.0,EMA,2,2,C,Maria Helena Moreira Morais,qui,16-18,
EMA986515-MATEMÁT.,Cálculo Numérico,60.0,EMA,2,2,C,Maria Helena Moreira Morais,sex,14-16,
EMA965815-MATEMÁT.,Estatística,60.0,EMA,3,2,C,Selene Maria Coelho Loibel,sex,14-16,
EMA965815-MATEMÁT.,Estatística,60.0,EMA,3,2,C,Selene Maria Coelho Loibel,qui,14-16,new
EMA980215-MATEMÁT.,Introdução à Ciência da Computação,60.0,EMA,1,2,C,Marcos Tadeu dos Santos,sex,14-18,
EMA967715-MATEMÁT.,Métodos Matemáticos para Física,60.0,EMA,4,1,B,Luís Renato de Campos Damin,seg,10-12,
EMA967715-MATEMÁT.,Métodos Matemáticos para Física,60.0,EMA,4,1,B,Luís Renato de Campos Damin,qua,14-16,
EMA965715-MATEMÁT.,Probabilidade,60.0,EMA,3,1,C,José Silvio Govone,ter,8-10,
EMA965715-MATEMÁT.,Probabilidade,60.0,EMA,3,1,C,José Silvio Govone,sex,10-12,new
FSI226615-MATEMÁT.,Física Geral I,60.0,FSI,1,2,C,,ter,8-10,
FSI226615-MATEMÁT.,Física Geral I,60.0,FSI,1,2,C,,sex,10-12,
FSI228715-MATEMÁT.,Física Geral II,60.0,FSI,2,1,C,Luís Renato de Campos Damin,ter,10-12,
FSI228715-MATEMÁT.,Física Geral II,60.0,FSI,2,1,C,Luís Renato de Campos Damin,qui,16-18,new
FSI228815-MATEMÁT.,Física Geral III,60.0,FSI,2,2,C,,ter,10-12,
FSI228815-MATEMÁT.,Física Geral III,60.0,FSI,2,2,C,,sex,10-12,new
PROGRADMAT-MATEMÁT.,"Libras, Educação Especial e Inclusiva",60.0,PROGRAD,1,1,C,,sab,14-18,
