Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Cursos - Ano/Serie - Prioridade,Cursos - Prioridade - Vagas,Docentes,dia,hora,Horários,status
MAT010615-MATEMÁT.,Filosofia da Educação: questões da Educação Matemática,60.0,DM,2,1,L,1423L - 2/1 - Obrigatória - Integral 1421L - Equivalente 1415L - Equivalente 1419L - Equivalente ,1423L - / 1421L - / 1415L - / 1419L - / ,Marcelo de Carvalho Borba Letícia Carolina José,ter,16-18,,old
MAT010615-MATEMÁT.,Filosofia da Educação: questões da Educação Matemática,60.0,DM,2,1,L,1423L - 2/1 - Obrigatória - Integral 1421L - Equivalente 1415L - Equivalente 1419L - Equivalente ,1423L - / 1421L - / 1415L - / 1419L - / ,Marcelo de Carvalho Borba Letícia Carolina José,qui,8-10,,old
MAT010615-MATEMÁT.,Filosofia da Educação: questões da Educação Matemática,60.0,DM,2,1,L,1423L - 2/1 - Obrigatória - Integral 1421L - Equivalente 1415L - Equivalente 1419L - Equivalente ,1423L - / 1421L - / 1415L - / 1419L - / ,Marcelo de Carvalho Borba Letícia Carolina José,ter,14-16,,new
MAT010615-MATEMÁT.,Filosofia da Educação: questões da Educação Matemática,60.0,DM,2,1,L,1423L - 2/1 - Obrigatória - Integral 1421L - Equivalente 1415L - Equivalente 1419L - Equivalente ,1423L - / 1421L - / 1415L - / 1419L - / ,Marcelo de Carvalho Borba Letícia Carolina José,sex,16-18,,new
MAT002315-MATEMÁT.,Espaços Métricos,60.0,DM,3,1,B,1415B - Equivalente 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral 1421B - 3/1 - Obrigatória - Integral ,1415B - / 1415L - / 1419C - / 1421L - / 1421B - / ,Suzete Maria Silva Afonso Nathalia Henrique Maximiano da Silva,seg,14-16,Quarta: 08:00-10:00 Segunda: 14:00-16:00,
MAT002315-MATEMÁT.,Espaços Métricos,60.0,DM,3,1,B,1415B - Equivalente 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral 1421B - 3/1 - Obrigatória - Integral ,1415B - / 1415L - / 1419C - / 1421L - / 1421B - / ,Suzete Maria Silva Afonso Nathalia Henrique Maximiano da Silva,qua,8-10,Quarta: 08:00-10:00 Segunda: 14:00-16:00,
#MAT002915-MATEMÁT.,Teoria dos Grupos,60.0,DM,3,1,B,1419B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415B - Equivalente ,1419B - / 1421B - / 1415B - / ,Carina Alves,qui;sex,16-18;10-12,Quinta: 16:00-18:00  Sexta: 10:00-12:00,
MAT002915-MATEMÁT.,Teoria dos Grupos,60.0,DM,3,1,B,1419B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415B - Equivalente ,1419B - / 1421B - / 1415B - / ,Carina Alves,qui,16-18,,
MAT002915-MATEMÁT.,Teoria dos Grupos,60.0,DM,3,1,B,1419B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415B - Equivalente ,1419B - / 1421B - / 1415B - / ,Carina Alves,sex,10-12,,old
MAT002915-MATEMÁT.,Teoria dos Grupos,60.0,DM,3,1,B,1419B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415B - Equivalente ,1419B - / 1421B - / 1415B - / ,Carina Alves,ter,14-16,,new
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,3,1,B,1415B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral ,1415B - / 1421B - / 1415L - / 1419C - / 1421L - / ,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,seg,10-12,Quinta: 14:00-16:00 Segunda: 10:00-12:00,
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,3,1,B,1415B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral ,1415B - / 1421B - / 1415L - / 1419C - / 1421L - / ,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,qui,14-16,Quinta: 14:00-16:00 Segunda: 10:00-12:00,
MAT001915-MATEMÁT.,Análise Matemática I,90.0,DM,3,1,C,1421C - 3/1 - Obrigatória - Integral 1419C - Equivalente 1415CO - Equivalente ,1421C - / 1419C - / 1415CO - / ,Marco Antonio de Freitas Contessoto,seg,8-10,Quarta: 10:00-12:00  Segunda: 08:00-10:00 Quinta: 08:00-10:00,
MAT001915-MATEMÁT.,Análise Matemática I,90.0,DM,3,1,C,1421C - 3/1 - Obrigatória - Integral 1419C - Equivalente 1415CO - Equivalente ,1421C - / 1419C - / 1415CO - / ,Marco Antonio de Freitas Contessoto,qua,10-12,Quarta: 10:00-12:00  Segunda: 08:00-10:00 Quinta: 08:00-10:00,
MAT001915-MATEMÁT.,Análise Matemática I,90.0,DM,3,1,C,1421C - 3/1 - Obrigatória - Integral 1419C - Equivalente 1415CO - Equivalente ,1421C - / 1419C - / 1415CO - / ,Marco Antonio de Freitas Contessoto,qui,8-10,Quarta: 10:00-12:00  Segunda: 08:00-10:00 Quinta: 08:00-10:00,
#EMA965715-MATEMÁT.,Probabilidade,60.0,EMA,3,1,C,1419C - 3/1 - Obrigatória - Integral 1415CO - 3/1 - Obrigatória - Integral 1421C - 3/1 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,José Silvio Govone,ter;qui,8-10;10-12,Terça: 08:00-10:00 Quinta: 10:00-12:00,
EMA965715-MATEMÁT.,Probabilidade,60.0,EMA,3,1,C,1419C - 3/1 - Obrigatória - Integral 1415CO - 3/1 - Obrigatória - Integral 1421C - 3/1 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,José Silvio Govone,ter,8-10,,
EMA965715-MATEMÁT.,Probabilidade,60.0,EMA,3,1,C,1419C - 3/1 - Obrigatória - Integral 1415CO - 3/1 - Obrigatória - Integral 1421C - 3/1 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,José Silvio Govone,qui,10-12,,old
EMA965715-MATEMÁT.,Probabilidade,60.0,EMA,3,1,C,1419C - 3/1 - Obrigatória - Integral 1415CO - 3/1 - Obrigatória - Integral 1421C - 3/1 - Obrigatória - Integral ,1419C - / 1415CO - / 1421C - / ,José Silvio Govone,sex,10-12,,new
EDO204515-MATEMÁT.,Didática I,60.0,EDO,3,1,L,1419L - 3/1 - Obrigatória - Integral 1415L - Equivalente 1421L - 3/1 - Obrigatória - Integral 1415B - Equivalente 1421B - Equivalente 1419B - Equivalente ,1419L - / 1415L - / 1421L - / 1415B - / 1421B - / 1419B - / ,Maria Antonia Ramos de Azevedo,qui,14-18,Quinta: 14:00-18:00,
MAT001815-MATEMÁT.,História e Sociologia da Educação: Questões da Educação Matemática,60.0,DM,3,1,L,1421L - 3/1 - Obrigatória - Integral 1419L - Equivalente 1415L - Equivalente ,1421L - / 1419L - / 1415L - / ,Heloisa da Silva Verusca Santos Bispo,seg,10-12,Segunda: 10:00-12:00 Terça: 10:00-12:00,
MAT001815-MATEMÁT.,História e Sociologia da Educação: Questões da Educação Matemática,60.0,DM,3,1,L,1421L - 3/1 - Obrigatória - Integral 1419L - Equivalente 1415L - Equivalente ,1421L - / 1419L - / 1415L - / ,Heloisa da Silva Verusca Santos Bispo,ter,10-12,Segunda: 10:00-12:00 Terça: 10:00-12:00,
EDO199115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado I,90.0,EDO,3,1,L,1415L - 3/1 - Obrigatória - Integral 1419L - 3/1 - Obrigatória - Integral 1421L - 3/1 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Priscila de Oliveira e Silva,seg,14-16,Sexta: 14:00-18:00 Segunda: 14:00-16:00,
EDO199115-MATEMÁT.,Prática de Ensino e Estágio Supervisionado I,90.0,EDO,3,1,L,1415L - 3/1 - Obrigatória - Integral 1419L - 3/1 - Obrigatória - Integral 1421L - 3/1 - Obrigatória - Integral ,1415L - / 1419L - / 1421L - / ,Priscila de Oliveira e Silva,sex,14-18,Sexta: 14:00-18:00 Segunda: 14:00-16:00,
EDO204715-MATEMÁT.,Psicologia do Desenvolvimento,60.0,EDO,3,1,L,1419L - 3/1 - Obrigatória - Integral 1415L - Equivalente 1421L - 3/1 - Obrigatória - Integral ,1419L - / 1415L - / 1421L - / ,Sueli de Fátima Caetano Coppi,ter,14-18,Terça: 14:00-18:00,
MAT003315-MATEMÁT.,Análise Matemática III,60.0,DM,4,1,B,1415B - Equivalente 1419B - Equivalente 1421B - 4/1 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Suzete Maria Silva Afonso,ter,14-16,Terça: 14:00-16:00 Quarta: 16:00-18:00,
MAT003315-MATEMÁT.,Análise Matemática III,60.0,DM,4,1,B,1415B - Equivalente 1419B - Equivalente 1421B - 4/1 - Obrigatória - Integral ,1415B - / 1419B - / 1421B - / ,Suzete Maria Silva Afonso,qua,16-18,Terça: 14:00-16:00 Quarta: 16:00-18:00,
EMA967715-MATEMÁT.,Métodos Matemáticos para Física,60.0,EMA,4,1,B,1421B - 4/1 - Obrigatória - Integral 1415B - Equivalente 1419B - 4/1 - Obrigatória - Integral ,1421B - / 1415B - / 1419B - / ,Luís Renato de Campos Damin,seg,10-12,Segunda: 10:00-12:00 Quarta: 14:00-16:00,
EMA967715-MATEMÁT.,Métodos Matemáticos para Física,60.0,EMA,4,1,B,1421B - 4/1 - Obrigatória - Integral 1415B - Equivalente 1419B - 4/1 - Obrigatória - Integral ,1421B - / 1415B - / 1419B - / ,Luís Renato de Campos Damin,qua,14-16,Segunda: 10:00-12:00 Quarta: 14:00-16:00,
MAT003415-MATEMÁT.,Teoria da Medida e Integração,60.0,DM,4,1,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/1 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,Jamil Viana Pereira,ter,16-18,Terça: 16:00-18:00  Sexta: 14:00-16:00,
MAT003415-MATEMÁT.,Teoria da Medida e Integração,60.0,DM,4,1,B,1419B - Equivalente 1415B - Equivalente 1421B - 4/1 - Obrigatória - Integral ,1419B - / 1415B - / 1421B - / ,Jamil Viana Pereira,sex,14-16,Terça: 16:00-18:00  Sexta: 14:00-16:00,
#MAT002415-MATEMÁT.,Funções de Variável Complexa I,60.0,DM,4,1,C,1415CO - Equivalente 1419C - Equivalente 1421C - 4/1 - Obrigatória - Integral ,1415CO - / 1419C - / 1421C - / ,Thiago de Melo,seg;ter,16-18;10-12,Segunda: 16:00-18:00  Terça: 10:00-12:00,
MAT002415-MATEMÁT.,Funções de Variável Complexa I,60.0,DM,4,1,C,1415CO - Equivalente 1419C - Equivalente 1421C - 4/1 - Obrigatória - Integral ,1415CO - / 1419C - / 1421C - / ,Thiago de Melo,seg,16-18,,
MAT002415-MATEMÁT.,Funções de Variável Complexa I,60.0,DM,4,1,C,1415CO - Equivalente 1419C - Equivalente 1421C - 4/1 - Obrigatória - Integral ,1415CO - / 1419C - / 1421C - / ,Thiago de Melo,ter,10-12,,old
MAT002415-MATEMÁT.,Funções de Variável Complexa I,60.0,DM,4,1,C,1415CO - Equivalente 1419C - Equivalente 1421C - 4/1 - Obrigatória - Integral ,1415CO - / 1419C - / 1421C - / ,Thiago de Melo,sex,8-10,,new
MAT002315-MATEMÁT.,Espaços Métricos,60.0,DM,4,1,L,1415B - Equivalente 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral 1421B - 3/1 - Obrigatória - Integral ,1415B - / 1415L - / 1419C - / 1421L - / 1421B - / ,Suzete Maria Silva Afonso Nathalia Henrique Maximiano da Silva,seg,14-16,Quarta: 08:00-10:00 Segunda: 14:00-16:00,
MAT002315-MATEMÁT.,Espaços Métricos,60.0,DM,4,1,L,1415B - Equivalente 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral 1421B - 3/1 - Obrigatória - Integral ,1415B - / 1415L - / 1419C - / 1421L - / 1421B - / ,Suzete Maria Silva Afonso Nathalia Henrique Maximiano da Silva,qua,8-10,Quarta: 08:00-10:00 Segunda: 14:00-16:00,
